mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion
"RandomForest(60667,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",2.6283683046861352e-31,0.1527995190081528,2.6283683046861352e-31,0.8786970676202817,6,20.236058133581096
"RandomForest(66645,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",4.255677088271692e-31,0.14662771238236214,4.255677088271692e-31,0.7691654096289132,6,22.23013196510865
"RandomForest(73213,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",4.557972855392641e-31,0.1420008878959112,4.557972855392641e-31,0.8887058001310536,6,24.420703079819255
"RandomForest(80427,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",5.1770009119471885e-31,0.1332745325934001,5.1770009119471885e-31,0.7597109093337077,6,26.82713444295916
"RandomForest(88353,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",6.608179343581741e-31,0.1293076177962396,6.608179343581741e-31,0.7324081770309959,6,29.47069705848667
"RandomForest(97059,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",7.266965368906642e-31,0.12606125480506974,7.266965368906642e-31,0.7704715408073739,6,32.37475798840082
"RandomForest(106623,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",8.552241550718942e-31,0.1227248195116734,8.552241550718942e-31,0.7516651105610075,6,35.56498689961235
"RandomForest(117130,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.1607289555382647e-30,0.11985406321057722,1.1607289555382647e-30,0.7322204452463426,6,39.06958296407261
"RandomForest(128672,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.350849530121091e-30,0.11709403056983969,1.350849530121091e-30,0.7377533182647721,6,42.919524117783105
"RandomForest(141352,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.5497146474868289e-30,0.11459676084433619,1.5497146474868289e-30,0.758010636271562,6,47.148840881943904
"RandomForest(155281,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",1.8591681237524278e-30,0.11600101615627137,1.8591681237524278e-30,0.7427616216278072,6,51.794917166609274
"RandomForest(170582,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",2.1497489975477045e-30,0.11435423190261361,2.1497489975477045e-30,0.746776754533308,6,56.89882071572382
"RandomForest(187391,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",2.740965266667583e-30,0.1134732325648672,2.740965266667583e-30,0.7075518051415935,6,62.50566611441926
"RandomForest(205857,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",3.130592961811576e-30,0.11389873247756631,3.130592961811576e-30,0.7045262256995342,6,68.66501356727741
"RandomForest(226143,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",3.852735947559421e-30,0.1131340729261042,3.852735947559421e-30,0.7748346583969221,6,75.43130697245263
"RandomForest(248427,False,6)","ChenDSet(3000,100,0.1,0,1.0,1,0.7,1)",4.5374751222897725e-30,0.11107915116394103,4.5374751222897725e-30,0.7477548677933247,6,82.86435516389264
