mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion,param_norm
"RBFNet(367,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.007423710146885929,1.560083343686109,537419729.4488358,50570.57884279788,0,0.9236708571873861,4434427.2400731575
"RBFNet(398,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.006010541729543302,0.7492273073310302,2545892995.913231,3954173.714836563,0,1.0,3971709.427201247
"RBFNet(398,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.006010541729543302,0.7492273073310302,2545892995.913231,3954173.714836563,0,1.0000230261160268,3971709.427201247
"RBFNet(505,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.005105364505260362,0.38810858413593846,392611.8901288632,9682.396624044326,0,1.2689892148399011,2003303.8271982698
"RBFNet(640,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.0049716205714186446,0.321932523128385,308154.3612973662,1283.715178261732,0,1.6102965485048253,1347186.4112611173
"RBFNet(813,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.004871741958809417,0.1658312672947497,22.730456541912336,3.1913188118496563,0,2.0434019011372757,1087410.1687750341
"RBFNet(1032,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.005184164393279506,0.1674034853738372,644385.753469386,0.2563677812274494,0,2.592995267516666,958261.3652723816
"RBFNet(1309,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.005083112451340842,0.1837457980287921,914025.3169338598,310726.3793829101,0,3.290407263310132,789445.7675361106
"RBFNet(1661,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.0050901823318529014,0.18700524973273433,316751.4077573718,11.84742601000691,0,4.175395186437412,707175.8324354596
"RBFNet(2108,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.0048658144163024825,0.23072650703519446,434934.25109055097,26921.567837713133,0,5.298409457492587,543724.7087852192
"RBFNet(2675,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.004893396496572949,0.2239021852605211,164897.91451225372,706593.7664258733,0,6.723469641971746,473330.08766360395
"RBFNet(3395,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.004827258361021555,0.2249777458671909,337927.76278841204,962133.6463641449,0,8.531814007426384,411854.2869336447
"RBFNet(4308,0.25,5.0,0,2000,1e-14)","ChenDSet(400,100,0.1,0,1.0,1,0.5,1)",0.004768653942062922,0.2121057537932051,977.5173956539523,130876.12815910703,0,10.826530665492806,366184.55015034176
